#    L    TT             EE             BB             TE             PP             TP             EP          
   128   0.364413E+04   0.992496E+00   0.000000E+00  -0.383339E+02   0.721226E-07   0.260868E-03  -0.929114E-06
   129   0.367869E+04   0.998523E+00   0.000000E+00  -0.388012E+02   0.716371E-07   0.258037E-03  -0.922895E-06
   130   0.371323E+04   0.100409E+01   0.000000E+00  -0.392550E+02   0.711558E-07   0.255256E-03  -0.914990E-06
   131   0.374775E+04   0.100934E+01   0.000000E+00  -0.396967E+02   0.706788E-07   0.252527E-03  -0.905429E-06
   132   0.378233E+04   0.101413E+01   0.000000E+00  -0.401234E+02   0.702059E-07   0.249846E-03  -0.894350E-06
   133   0.381683E+04   0.101853E+01   0.000000E+00  -0.405372E+02   0.697372E-07   0.247214E-03  -0.881918E-06
   134   0.385131E+04   0.102254E+01   0.000000E+00  -0.409339E+02   0.692727E-07   0.244630E-03  -0.868297E-06
   135   0.388577E+04   0.102608E+01   0.000000E+00  -0.413164E+02   0.688122E-07   0.242091E-03  -0.853652E-06
   136   0.392008E+04   0.102915E+01   0.000000E+00  -0.416810E+02   0.683558E-07   0.239597E-03  -0.838147E-06
   137   0.395438E+04   0.103182E+01   0.000000E+00  -0.420300E+02   0.679034E-07   0.237147E-03  -0.821947E-06
   138   0.398859E+04   0.103402E+01   0.000000E+00  -0.423620E+02   0.674550E-07   0.234739E-03  -0.805217E-06
   139   0.402258E+04   0.103590E+01   0.000000E+00  -0.426761E+02   0.670106E-07   0.232373E-03  -0.788121E-06
   140   0.405664E+04   0.103723E+01   0.000000E+00  -0.429733E+02   0.665701E-07   0.230046E-03  -0.770823E-06
   141   0.409047E+04   0.103808E+01   0.000000E+00  -0.432513E+02   0.661335E-07   0.227759E-03  -0.753487E-06
   142   0.412429E+04   0.103853E+01   0.000000E+00  -0.435109E+02   0.657007E-07   0.225510E-03  -0.736279E-06
   143   0.415805E+04   0.103858E+01   0.000000E+00  -0.437521E+02   0.652718E-07   0.223297E-03  -0.719362E-06
   144   0.419158E+04   0.103814E+01   0.000000E+00  -0.439742E+02   0.648467E-07   0.221119E-03  -0.702900E-06
   145   0.422496E+04   0.103737E+01   0.000000E+00  -0.441766E+02   0.644254E-07   0.218976E-03  -0.687058E-06
   146   0.425843E+04   0.103604E+01   0.000000E+00  -0.443591E+02   0.640078E-07   0.216866E-03  -0.671999E-06
   147   0.429153E+04   0.103437E+01   0.000000E+00  -0.445205E+02   0.635939E-07   0.214789E-03  -0.657888E-06
   148   0.432448E+04   0.103222E+01   0.000000E+00  -0.446622E+02   0.631837E-07   0.212741E-03  -0.644889E-06
   149   0.435737E+04   0.102965E+01   0.000000E+00  -0.447827E+02   0.627772E-07   0.210724E-03  -0.633166E-06
   150   0.438998E+04   0.102675E+01   0.000000E+00  -0.448799E+02   0.623743E-07   0.208735E-03  -0.622882E-06
   151   0.442244E+04   0.102342E+01   0.000000E+00  -0.449567E+02   0.619749E-07   0.206773E-03  -0.614157E-06
   152   0.445462E+04   0.101960E+01   0.000000E+00  -0.450117E+02   0.615791E-07   0.204838E-03  -0.606935E-06
   153   0.448667E+04   0.101543E+01   0.000000E+00  -0.450426E+02   0.611869E-07   0.202930E-03  -0.601113E-06
   154   0.451851E+04   0.101091E+01   0.000000E+00  -0.450516E+02   0.607981E-07   0.201046E-03  -0.596590E-06
   155   0.455014E+04   0.100603E+01   0.000000E+00  -0.450379E+02   0.604128E-07   0.199188E-03  -0.593265E-06
   156   0.458142E+04   0.100079E+01   0.000000E+00  -0.450015E+02   0.600310E-07   0.197353E-03  -0.591037E-06
   157   0.461264E+04   0.995185E+00   0.000000E+00  -0.449409E+02   0.596526E-07   0.195542E-03  -0.589803E-06
   158   0.464358E+04   0.989288E+00   0.000000E+00  -0.448568E+02   0.592776E-07   0.193754E-03  -0.589463E-06
   159   0.467424E+04   0.982945E+00   0.000000E+00  -0.447492E+02   0.589060E-07   0.191989E-03  -0.589916E-06
   160   0.470470E+04   0.976302E+00   0.000000E+00  -0.446165E+02   0.585377E-07   0.190244E-03  -0.591059E-06
