#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   123   0.347121E+04  -0.358195E+02   0.275444E-03  -0.358195E+02   0.956394E+00  -0.934850E-06   0.275444E-03  -0.934850E-06   0.744658E-07
   124   0.350568E+04  -0.363435E+02   0.272355E-03  -0.363435E+02   0.964361E+00  -0.937094E-06   0.272355E-03  -0.937094E-06   0.739585E-07
   125   0.354015E+04  -0.368577E+02   0.269319E-03  -0.368577E+02   0.971940E+00  -0.937640E-06   0.269319E-03  -0.937640E-06   0.734556E-07
   126   0.357467E+04  -0.373613E+02   0.266336E-03  -0.373613E+02   0.979204E+00  -0.936492E-06   0.266336E-03  -0.936492E-06   0.729569E-07
   127   0.360918E+04  -0.378535E+02   0.263405E-03  -0.378535E+02   0.986007E+00  -0.933651E-06   0.263405E-03  -0.933651E-06   0.724626E-07
   128   0.364368E+04  -0.383337E+02   0.260525E-03  -0.383337E+02   0.992496E+00  -0.929122E-06   0.260525E-03  -0.929122E-06   0.719725E-07
   129   0.367823E+04  -0.388010E+02   0.257697E-03  -0.388010E+02   0.998523E+00  -0.922905E-06   0.257697E-03  -0.922905E-06   0.714866E-07
   130   0.371277E+04  -0.392548E+02   0.254921E-03  -0.392548E+02   0.100409E+01  -0.915005E-06   0.254921E-03  -0.915005E-06   0.710051E-07
   131   0.374729E+04  -0.396965E+02   0.252195E-03  -0.396965E+02   0.100934E+01  -0.905450E-06   0.252195E-03  -0.905450E-06   0.705277E-07
   132   0.378186E+04  -0.401232E+02   0.249519E-03  -0.401232E+02   0.101413E+01  -0.894379E-06   0.249519E-03  -0.894379E-06   0.700546E-07
   133   0.381635E+04  -0.405371E+02   0.246891E-03  -0.405371E+02   0.101853E+01  -0.881954E-06   0.246891E-03  -0.881954E-06   0.695856E-07
   134   0.385082E+04  -0.409337E+02   0.244310E-03  -0.409337E+02   0.102254E+01  -0.868341E-06   0.244310E-03  -0.868341E-06   0.691208E-07
   135   0.388529E+04  -0.413162E+02   0.241776E-03  -0.413162E+02   0.102607E+01  -0.853704E-06   0.241776E-03  -0.853704E-06   0.686600E-07
   136   0.391959E+04  -0.416809E+02   0.239286E-03  -0.416809E+02   0.102915E+01  -0.838206E-06   0.239286E-03  -0.838206E-06   0.682034E-07
   137   0.395388E+04  -0.420299E+02   0.236841E-03  -0.420299E+02   0.103182E+01  -0.822013E-06   0.236841E-03  -0.822013E-06   0.677508E-07
   138   0.398810E+04  -0.423618E+02   0.234437E-03  -0.423618E+02   0.103402E+01  -0.805287E-06   0.234437E-03  -0.805287E-06   0.673021E-07
   139   0.402208E+04  -0.426760E+02   0.232076E-03  -0.426760E+02   0.103590E+01  -0.788195E-06   0.232076E-03  -0.788195E-06   0.668575E-07
   140   0.405613E+04  -0.429732E+02   0.229754E-03  -0.429732E+02   0.103723E+01  -0.770899E-06   0.229754E-03  -0.770899E-06   0.664168E-07
   141   0.408996E+04  -0.432512E+02   0.227472E-03  -0.432512E+02   0.103808E+01  -0.753564E-06   0.227472E-03  -0.753564E-06   0.659800E-07
   142   0.412378E+04  -0.435108E+02   0.225227E-03  -0.435108E+02   0.103853E+01  -0.736354E-06   0.225227E-03  -0.736354E-06   0.655471E-07
   143   0.415753E+04  -0.437520E+02   0.223019E-03  -0.437520E+02   0.103857E+01  -0.719433E-06   0.223019E-03  -0.719433E-06   0.651181E-07
   144   0.419106E+04  -0.439742E+02   0.220847E-03  -0.439742E+02   0.103814E+01  -0.702966E-06   0.220847E-03  -0.702966E-06   0.646929E-07
   145   0.422445E+04  -0.441765E+02   0.218709E-03  -0.441765E+02   0.103737E+01  -0.687117E-06   0.218709E-03  -0.687117E-06   0.642714E-07
   146   0.425791E+04  -0.443591E+02   0.216604E-03  -0.443591E+02   0.103604E+01  -0.672050E-06   0.216604E-03  -0.672050E-06   0.638537E-07
   147   0.429100E+04  -0.445204E+02   0.214531E-03  -0.445204E+02   0.103437E+01  -0.657929E-06   0.214531E-03  -0.657929E-06   0.634398E-07
   148   0.432396E+04  -0.446621E+02   0.212489E-03  -0.446621E+02   0.103222E+01  -0.644918E-06   0.212489E-03  -0.644918E-06   0.630295E-07
   149   0.435685E+04  -0.447826E+02   0.210477E-03  -0.447826E+02   0.102965E+01  -0.633182E-06   0.210477E-03  -0.633182E-06   0.626228E-07
   150   0.438945E+04  -0.448798E+02   0.208493E-03  -0.448798E+02   0.102675E+01  -0.622885E-06   0.208493E-03  -0.622885E-06   0.622198E-07
   151   0.442191E+04  -0.449567E+02   0.206536E-03  -0.449567E+02   0.102342E+01  -0.614147E-06   0.206536E-03  -0.614147E-06   0.618204E-07
   152   0.445409E+04  -0.450116E+02   0.204607E-03  -0.450116E+02   0.101960E+01  -0.606910E-06   0.204607E-03  -0.606910E-06   0.614246E-07
   153   0.448614E+04  -0.450425E+02   0.202703E-03  -0.450425E+02   0.101543E+01  -0.601075E-06   0.202703E-03  -0.601075E-06   0.610323E-07
   154   0.451797E+04  -0.450515E+02   0.200825E-03  -0.450515E+02   0.101091E+01  -0.596539E-06   0.200825E-03  -0.596539E-06   0.606435E-07
   155   0.454960E+04  -0.450378E+02   0.198971E-03  -0.450378E+02   0.100603E+01  -0.593201E-06   0.198971E-03  -0.593201E-06   0.602582E-07
   156   0.458088E+04  -0.450014E+02   0.197142E-03  -0.450014E+02   0.100079E+01  -0.590961E-06   0.197142E-03  -0.590961E-06   0.598763E-07
   157   0.461210E+04  -0.449408E+02   0.195336E-03  -0.449408E+02   0.995184E+00  -0.589716E-06   0.195336E-03  -0.589716E-06   0.594979E-07
   158   0.464304E+04  -0.448567E+02   0.193553E-03  -0.448567E+02   0.989287E+00  -0.589367E-06   0.193553E-03  -0.589367E-06   0.591229E-07
   159   0.467370E+04  -0.447490E+02   0.191793E-03  -0.447490E+02   0.982944E+00  -0.589811E-06   0.191793E-03  -0.589811E-06   0.587513E-07
   160   0.470416E+04  -0.446163E+02   0.190054E-03  -0.446163E+02   0.976300E+00  -0.590948E-06   0.190054E-03  -0.590948E-06   0.583830E-07
   161   0.473442E+04  -0.444600E+02   0.188336E-03  -0.444600E+02   0.969427E+00  -0.592676E-06   0.188336E-03  -0.592676E-06   0.580181E-07
   162   0.476441E+04  -0.442801E+02   0.186639E-03  -0.442801E+02   0.962172E+00  -0.594894E-06   0.186639E-03  -0.594894E-06   0.576564E-07
   163   0.479427E+04  -0.440751E+02   0.184961E-03  -0.440751E+02   0.954606E+00  -0.597501E-06   0.184961E-03  -0.597501E-06   0.572980E-07
   164   0.482371E+04  -0.438464E+02   0.183303E-03  -0.438464E+02   0.946799E+00  -0.600396E-06   0.183303E-03  -0.600396E-06   0.569429E-07
   165   0.485302E+04  -0.435917E+02   0.181663E-03  -0.435917E+02   0.938675E+00  -0.603478E-06   0.181663E-03  -0.603478E-06   0.565910E-07
   166   0.488207E+04  -0.433126E+02   0.180041E-03  -0.433126E+02   0.930377E+00  -0.606645E-06   0.180041E-03  -0.606645E-06   0.562423E-07
   167   0.491092E+04  -0.430098E+02   0.178437E-03  -0.430098E+02   0.921679E+00  -0.609797E-06   0.178437E-03  -0.609797E-06   0.558967E-07
   168   0.493936E+04  -0.426809E+02   0.176849E-03  -0.426809E+02   0.912950E+00  -0.612831E-06   0.176849E-03  -0.612831E-06   0.555543E-07
   169   0.496753E+04  -0.423260E+02   0.175277E-03  -0.423260E+02   0.903888E+00  -0.615648E-06   0.175277E-03  -0.615648E-06   0.552150E-07
   170   0.499543E+04  -0.419465E+02   0.173721E-03  -0.419465E+02   0.894713E+00  -0.618145E-06   0.173721E-03  -0.618145E-06   0.548788E-07
   171   0.502292E+04  -0.415401E+02   0.172180E-03  -0.415401E+02   0.885421E+00  -0.620223E-06   0.172180E-03  -0.620223E-06   0.545457E-07
   172   0.505007E+04  -0.411084E+02   0.170652E-03  -0.411084E+02   0.875934E+00  -0.621778E-06   0.170652E-03  -0.621778E-06   0.542156E-07
   173   0.507680E+04  -0.406513E+02   0.169139E-03  -0.406513E+02   0.866250E+00  -0.622711E-06   0.169139E-03  -0.622711E-06   0.538884E-07
   174   0.510328E+04  -0.401687E+02   0.167638E-03  -0.401687E+02   0.856661E+00  -0.622920E-06   0.167638E-03  -0.622920E-06   0.535643E-07
   175   0.512942E+04  -0.396599E+02   0.166150E-03  -0.396599E+02   0.846866E+00  -0.622304E-06   0.166150E-03  -0.622304E-06   0.532431E-07
   176   0.515508E+04  -0.391249E+02   0.164673E-03  -0.391249E+02   0.837085E+00  -0.620784E-06   0.164673E-03  -0.620784E-06   0.529249E-07
   177   0.518040E+04  -0.385650E+02   0.163208E-03  -0.385650E+02   0.827239E+00  -0.618372E-06   0.163208E-03  -0.618372E-06   0.526095E-07
