#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   126   0.350024E+04  -0.378504E+02   0.287198E-03  -0.378504E+02   0.100968E+01  -0.737255E-06   0.287198E-03  -0.737255E-06   0.790701E-07
   127   0.353423E+04  -0.383189E+02   0.284129E-03  -0.383189E+02   0.101555E+01  -0.758809E-06   0.284129E-03  -0.758809E-06   0.785566E-07
   128   0.356820E+04  -0.387738E+02   0.281107E-03  -0.387738E+02   0.102107E+01  -0.778782E-06   0.281107E-03  -0.778782E-06   0.780474E-07
   129   0.360222E+04  -0.392142E+02   0.278131E-03  -0.392142E+02   0.102608E+01  -0.796712E-06   0.278131E-03  -0.796712E-06   0.775425E-07
   130   0.363621E+04  -0.396395E+02   0.275202E-03  -0.396395E+02   0.103059E+01  -0.812138E-06   0.275202E-03  -0.812138E-06   0.770418E-07
   131   0.367018E+04  -0.400511E+02   0.272317E-03  -0.400511E+02   0.103474E+01  -0.824707E-06   0.272317E-03  -0.824707E-06   0.765453E-07
   132   0.370420E+04  -0.404461E+02   0.269476E-03  -0.404461E+02   0.103839E+01  -0.834499E-06   0.269476E-03  -0.834499E-06   0.760531E-07
   133   0.373812E+04  -0.408267E+02   0.266678E-03  -0.408267E+02   0.104160E+01  -0.841704E-06   0.266678E-03  -0.841704E-06   0.755650E-07
   134   0.377202E+04  -0.411884E+02   0.263924E-03  -0.411884E+02   0.104439E+01  -0.846511E-06   0.263924E-03  -0.846511E-06   0.750811E-07
   135   0.380590E+04  -0.415345E+02   0.261211E-03  -0.415345E+02   0.104668E+01  -0.849110E-06   0.261211E-03  -0.849110E-06   0.746013E-07
   136   0.383961E+04  -0.418610E+02   0.258540E-03  -0.418610E+02   0.104846E+01  -0.849689E-06   0.258540E-03  -0.849689E-06   0.741256E-07
   137   0.387330E+04  -0.421704E+02   0.255908E-03  -0.421704E+02   0.104982E+01  -0.848438E-06   0.255908E-03  -0.848438E-06   0.736539E-07
   138   0.390690E+04  -0.424611E+02   0.253317E-03  -0.424611E+02   0.105067E+01  -0.845546E-06   0.253317E-03  -0.845546E-06   0.731863E-07
   139   0.394026E+04  -0.427324E+02   0.250764E-03  -0.427324E+02   0.105117E+01  -0.841203E-06   0.250764E-03  -0.841203E-06   0.727226E-07
   140   0.397368E+04  -0.429853E+02   0.248250E-03  -0.429853E+02   0.105109E+01  -0.835597E-06   0.248250E-03  -0.835597E-06   0.722630E-07
   141   0.400687E+04  -0.432173E+02   0.245773E-03  -0.432173E+02   0.105052E+01  -0.828919E-06   0.245773E-03  -0.828919E-06   0.718072E-07
   142   0.404004E+04  -0.434294E+02   0.243333E-03  -0.434294E+02   0.104952E+01  -0.821357E-06   0.243333E-03  -0.821357E-06   0.713554E-07
   143   0.407312E+04  -0.436215E+02   0.240929E-03  -0.436215E+02   0.104809E+01  -0.813100E-06   0.240929E-03  -0.813100E-06   0.709074E-07
   144   0.410597E+04  -0.437930E+02   0.238559E-03  -0.437930E+02   0.104616E+01  -0.804339E-06   0.238559E-03  -0.804339E-06   0.704633E-07
   145   0.413867E+04  -0.439432E+02   0.236225E-03  -0.439432E+02   0.104388E+01  -0.795262E-06   0.236225E-03  -0.795262E-06   0.700230E-07
   146   0.417143E+04  -0.440720E+02   0.233923E-03  -0.440720E+02   0.104102E+01  -0.786059E-06   0.233923E-03  -0.786059E-06   0.695864E-07
   147   0.420381E+04  -0.441781E+02   0.231655E-03  -0.441781E+02   0.103782E+01  -0.776919E-06   0.231655E-03  -0.776919E-06   0.691536E-07
   148   0.423603E+04  -0.442630E+02   0.229419E-03  -0.442630E+02   0.103411E+01  -0.768030E-06   0.229419E-03  -0.768030E-06   0.687245E-07
   149   0.426818E+04  -0.443252E+02   0.227215E-03  -0.443252E+02   0.102999E+01  -0.759584E-06   0.227215E-03  -0.759584E-06   0.682991E-07
   150   0.430003E+04  -0.443625E+02   0.225041E-03  -0.443625E+02   0.102551E+01  -0.751768E-06   0.225041E-03  -0.751768E-06   0.678774E-07
   151   0.433172E+04  -0.443779E+02   0.222896E-03  -0.443779E+02   0.102061E+01  -0.744730E-06   0.222896E-03  -0.744730E-06   0.674593E-07
   152   0.436312E+04  -0.443700E+02   0.220782E-03  -0.443700E+02   0.101521E+01  -0.738448E-06   0.220782E-03  -0.738448E-06   0.670448E-07
   153   0.439436E+04  -0.443365E+02   0.218696E-03  -0.443365E+02   0.100946E+01  -0.732857E-06   0.218696E-03  -0.732857E-06   0.666338E-07
   154   0.442537E+04  -0.442797E+02   0.216638E-03  -0.442797E+02   0.100336E+01  -0.727893E-06   0.216638E-03  -0.727893E-06   0.662264E-07
   155   0.445616E+04  -0.441987E+02   0.214608E-03  -0.441987E+02   0.996912E+00  -0.723492E-06   0.214608E-03  -0.723492E-06   0.658225E-07
   156   0.448657E+04  -0.440937E+02   0.212606E-03  -0.440937E+02   0.990111E+00  -0.719589E-06   0.212606E-03  -0.719589E-06   0.654221E-07
   157   0.451690E+04  -0.439630E+02   0.210630E-03  -0.439630E+02   0.982960E+00  -0.716120E-06   0.210630E-03  -0.716120E-06   0.650252E-07
   158   0.454692E+04  -0.438075E+02   0.208680E-03  -0.438075E+02   0.975531E+00  -0.713021E-06   0.208680E-03  -0.713021E-06   0.646318E-07
   159   0.457664E+04  -0.436271E+02   0.206756E-03  -0.436271E+02   0.967676E+00  -0.710228E-06   0.206756E-03  -0.710228E-06   0.642417E-07
   160   0.460612E+04  -0.434204E+02   0.204857E-03  -0.434204E+02   0.959544E+00  -0.707675E-06   0.204857E-03  -0.707675E-06   0.638550E-07
   161   0.463538E+04  -0.431888E+02   0.202982E-03  -0.431888E+02   0.951208E+00  -0.705299E-06   0.202982E-03  -0.705299E-06   0.634717E-07
   162   0.466432E+04  -0.429324E+02   0.201132E-03  -0.429324E+02   0.942518E+00  -0.703036E-06   0.201132E-03  -0.703036E-06   0.630918E-07
   163   0.469311E+04  -0.426495E+02   0.199305E-03  -0.426495E+02   0.933551E+00  -0.700820E-06   0.199305E-03  -0.700820E-06   0.627151E-07
   164   0.472143E+04  -0.423418E+02   0.197500E-03  -0.423418E+02   0.924378E+00  -0.698589E-06   0.197500E-03  -0.698589E-06   0.623418E-07
   165   0.474960E+04  -0.420070E+02   0.195719E-03  -0.420070E+02   0.914926E+00  -0.696276E-06   0.195719E-03  -0.696276E-06   0.619717E-07
   166   0.477746E+04  -0.416465E+02   0.193959E-03  -0.416465E+02   0.905343E+00  -0.693819E-06   0.193959E-03  -0.693819E-06   0.616048E-07
   167   0.480507E+04  -0.412612E+02   0.192220E-03  -0.412612E+02   0.895405E+00  -0.691152E-06   0.192220E-03  -0.691152E-06   0.612412E-07
   168   0.483223E+04  -0.408487E+02   0.190502E-03  -0.408487E+02   0.885484E+00  -0.688211E-06   0.190502E-03  -0.688211E-06   0.608807E-07
   169   0.485908E+04  -0.404091E+02   0.188805E-03  -0.404091E+02   0.875283E+00  -0.684932E-06   0.188805E-03  -0.684932E-06   0.605234E-07
   170   0.488561E+04  -0.399439E+02   0.187127E-03  -0.399439E+02   0.865023E+00  -0.681252E-06   0.187127E-03  -0.681252E-06   0.601693E-07
   171   0.491168E+04  -0.394508E+02   0.185468E-03  -0.394508E+02   0.854705E+00  -0.677104E-06   0.185468E-03  -0.677104E-06   0.598182E-07
   172   0.493735E+04  -0.389313E+02   0.183828E-03  -0.389313E+02   0.844254E+00  -0.672425E-06   0.183828E-03  -0.672425E-06   0.594702E-07
   173   0.496257E+04  -0.383854E+02   0.182207E-03  -0.383854E+02   0.833670E+00  -0.667151E-06   0.182207E-03  -0.667151E-06   0.591253E-07
   174   0.498746E+04  -0.378131E+02   0.180602E-03  -0.378131E+02   0.823248E+00  -0.661217E-06   0.180602E-03  -0.661217E-06   0.587834E-07
   175   0.501197E+04  -0.372136E+02   0.179015E-03  -0.372136E+02   0.812693E+00  -0.654559E-06   0.179015E-03  -0.654559E-06   0.584446E-07
   176   0.503594E+04  -0.365870E+02   0.177444E-03  -0.365870E+02   0.802227E+00  -0.647129E-06   0.177444E-03  -0.647129E-06   0.581087E-07
   177   0.505951E+04  -0.359347E+02   0.175890E-03  -0.359347E+02   0.791774E+00  -0.638946E-06   0.175890E-03  -0.638946E-06   0.577757E-07
