#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   107   0.286862E+04  -0.270496E+02   0.463966E-03  -0.270496E+02   0.826011E+00  -0.628479E-06   0.463966E-03  -0.628479E-06   0.895339E-07
   108   0.290089E+04  -0.276781E+02   0.459414E-03  -0.276781E+02   0.838502E+00  -0.596914E-06   0.459414E-03  -0.596914E-06   0.889374E-07
   109   0.293329E+04  -0.283028E+02   0.454919E-03  -0.283028E+02   0.850703E+00  -0.569670E-06   0.454919E-03  -0.569670E-06   0.883453E-07
   110   0.296578E+04  -0.289223E+02   0.450477E-03  -0.289223E+02   0.862616E+00  -0.547717E-06   0.450477E-03  -0.547717E-06   0.877575E-07
   111   0.299840E+04  -0.295382E+02   0.446084E-03  -0.295382E+02   0.874315E+00  -0.531792E-06   0.446084E-03  -0.531792E-06   0.871741E-07
   112   0.303118E+04  -0.301496E+02   0.441739E-03  -0.301496E+02   0.885727E+00  -0.521671E-06   0.441739E-03  -0.521671E-06   0.865952E-07
   113   0.306417E+04  -0.307550E+02   0.437443E-03  -0.307550E+02   0.896851E+00  -0.516891E-06   0.437443E-03  -0.516891E-06   0.860206E-07
   114   0.309724E+04  -0.313538E+02   0.433195E-03  -0.313538E+02   0.907614E+00  -0.516990E-06   0.433195E-03  -0.516990E-06   0.854504E-07
   115   0.313052E+04  -0.319458E+02   0.428995E-03  -0.319458E+02   0.918165E+00  -0.521507E-06   0.428995E-03  -0.521507E-06   0.848846E-07
   116   0.316380E+04  -0.325304E+02   0.424843E-03  -0.325304E+02   0.928281E+00  -0.529979E-06   0.424843E-03  -0.529979E-06   0.843231E-07
   117   0.319736E+04  -0.331067E+02   0.420741E-03  -0.331067E+02   0.938037E+00  -0.541944E-06   0.420741E-03  -0.541944E-06   0.837660E-07
   118   0.323107E+04  -0.336755E+02   0.416686E-03  -0.336755E+02   0.947581E+00  -0.556939E-06   0.416686E-03  -0.556939E-06   0.832133E-07
   119   0.326476E+04  -0.342345E+02   0.412680E-03  -0.342345E+02   0.956765E+00  -0.574503E-06   0.412680E-03  -0.574503E-06   0.826649E-07
   120   0.329859E+04  -0.347837E+02   0.408722E-03  -0.347837E+02   0.965442E+00  -0.594173E-06   0.408722E-03  -0.594173E-06   0.821209E-07
   121   0.333241E+04  -0.353231E+02   0.404813E-03  -0.353231E+02   0.973908E+00  -0.615487E-06   0.404813E-03  -0.615487E-06   0.815811E-07
   122   0.336629E+04  -0.358520E+02   0.400952E-03  -0.358520E+02   0.981867E+00  -0.637983E-06   0.400952E-03  -0.637983E-06   0.810457E-07
   123   0.340022E+04  -0.363703E+02   0.397140E-03  -0.363703E+02   0.989394E+00  -0.661199E-06   0.397140E-03  -0.661199E-06   0.805147E-07
   124   0.343422E+04  -0.368750E+02   0.393376E-03  -0.368750E+02   0.996562E+00  -0.684672E-06   0.393376E-03  -0.684672E-06   0.799879E-07
   125   0.346819E+04  -0.373683E+02   0.389660E-03  -0.373683E+02   0.100330E+01  -0.707941E-06   0.389660E-03  -0.707941E-06   0.794654E-07
   126   0.350222E+04  -0.378495E+02   0.385994E-03  -0.378495E+02   0.100968E+01  -0.730542E-06   0.385994E-03  -0.730542E-06   0.789472E-07
   127   0.353623E+04  -0.383179E+02   0.382375E-03  -0.383179E+02   0.101555E+01  -0.752015E-06   0.382375E-03  -0.752015E-06   0.784333E-07
   128   0.357022E+04  -0.387726E+02   0.378806E-03  -0.387726E+02   0.102107E+01  -0.771896E-06   0.378806E-03  -0.771896E-06   0.779237E-07
   129   0.360426E+04  -0.392129E+02   0.375284E-03  -0.392129E+02   0.102608E+01  -0.789724E-06   0.375284E-03  -0.789724E-06   0.774183E-07
   130   0.363827E+04  -0.396380E+02   0.371812E-03  -0.396380E+02   0.103059E+01  -0.805036E-06   0.371812E-03  -0.805036E-06   0.769172E-07
   131   0.367226E+04  -0.400494E+02   0.368387E-03  -0.400494E+02   0.103474E+01  -0.817479E-06   0.368387E-03  -0.817479E-06   0.764203E-07
   132   0.370630E+04  -0.404442E+02   0.365011E-03  -0.404442E+02   0.103839E+01  -0.827134E-06   0.365011E-03  -0.827134E-06   0.759277E-07
   133   0.374024E+04  -0.408246E+02   0.361680E-03  -0.408246E+02   0.104160E+01  -0.834194E-06   0.361680E-03  -0.834194E-06   0.754393E-07
   134   0.377416E+04  -0.411863E+02   0.358394E-03  -0.411863E+02   0.104439E+01  -0.838848E-06   0.358394E-03  -0.838848E-06   0.749550E-07
   135   0.380806E+04  -0.415321E+02   0.355153E-03  -0.415321E+02   0.104668E+01  -0.841287E-06   0.355153E-03  -0.841287E-06   0.744748E-07
   136   0.384179E+04  -0.418585E+02   0.351954E-03  -0.418585E+02   0.104846E+01  -0.841702E-06   0.351954E-03  -0.841702E-06   0.739987E-07
   137   0.387549E+04  -0.421677E+02   0.348797E-03  -0.421677E+02   0.104982E+01  -0.840284E-06   0.348797E-03  -0.840284E-06   0.735268E-07
   138   0.390911E+04  -0.424583E+02   0.345680E-03  -0.424583E+02   0.105067E+01  -0.837223E-06   0.345680E-03  -0.837223E-06   0.730588E-07
   139   0.394248E+04  -0.427295E+02   0.342603E-03  -0.427295E+02   0.105117E+01  -0.832710E-06   0.342603E-03  -0.832710E-06   0.725948E-07
   140   0.397591E+04  -0.429822E+02   0.339564E-03  -0.429822E+02   0.105110E+01  -0.826937E-06   0.339564E-03  -0.826937E-06   0.721348E-07
   141   0.400910E+04  -0.432141E+02   0.336562E-03  -0.432141E+02   0.105052E+01  -0.820093E-06   0.336562E-03  -0.820093E-06   0.716788E-07
   142   0.404227E+04  -0.434261E+02   0.333596E-03  -0.434261E+02   0.104952E+01  -0.812370E-06   0.333596E-03  -0.812370E-06   0.712266E-07
   143   0.407536E+04  -0.436181E+02   0.330664E-03  -0.436181E+02   0.104809E+01  -0.803959E-06   0.330664E-03  -0.803959E-06   0.707784E-07
   144   0.410821E+04  -0.437894E+02   0.327766E-03  -0.437894E+02   0.104616E+01  -0.795049E-06   0.327766E-03  -0.795049E-06   0.703340E-07
   145   0.414089E+04  -0.439394E+02   0.324900E-03  -0.439394E+02   0.104388E+01  -0.785833E-06   0.324900E-03  -0.785833E-06   0.698934E-07
   146   0.417364E+04  -0.440681E+02   0.322066E-03  -0.440681E+02   0.104102E+01  -0.776500E-06   0.322066E-03  -0.776500E-06   0.694566E-07
   147   0.420601E+04  -0.441741E+02   0.319262E-03  -0.441741E+02   0.103782E+01  -0.767241E-06   0.319262E-03  -0.767241E-06   0.690235E-07
   148   0.423822E+04  -0.442588E+02   0.316486E-03  -0.442588E+02   0.103412E+01  -0.758248E-06   0.316486E-03  -0.758248E-06   0.685942E-07
   149   0.427034E+04  -0.443208E+02   0.313738E-03  -0.443208E+02   0.102999E+01  -0.749710E-06   0.313738E-03  -0.749710E-06   0.681686E-07
   150   0.430216E+04  -0.443579E+02   0.311017E-03  -0.443579E+02   0.102551E+01  -0.741820E-06   0.311017E-03  -0.741820E-06   0.677466E-07
   151   0.433382E+04  -0.443732E+02   0.308322E-03  -0.443732E+02   0.102061E+01  -0.734724E-06   0.308322E-03  -0.734724E-06   0.673283E-07
   152   0.436518E+04  -0.443651E+02   0.305652E-03  -0.443651E+02   0.101521E+01  -0.728400E-06   0.305652E-03  -0.728400E-06   0.669135E-07
   153   0.439638E+04  -0.443314E+02   0.303007E-03  -0.443314E+02   0.100947E+01  -0.722782E-06   0.303007E-03  -0.722782E-06   0.665024E-07
   154   0.442736E+04  -0.442744E+02   0.300386E-03  -0.442744E+02   0.100337E+01  -0.717806E-06   0.300386E-03  -0.717806E-06   0.660948E-07
   155   0.445809E+04  -0.441933E+02   0.297791E-03  -0.441933E+02   0.996917E+00  -0.713404E-06   0.297791E-03  -0.713404E-06   0.656907E-07
   156   0.448845E+04  -0.440880E+02   0.295220E-03  -0.440880E+02   0.990117E+00  -0.709511E-06   0.295220E-03  -0.709511E-06   0.652901E-07
   157   0.451872E+04  -0.439572E+02   0.292674E-03  -0.439572E+02   0.982966E+00  -0.706063E-06   0.292674E-03  -0.706063E-06   0.648930E-07
   158   0.454869E+04  -0.438015E+02   0.290152E-03  -0.438015E+02   0.975538E+00  -0.702992E-06   0.290152E-03  -0.702992E-06   0.644994E-07
   159   0.457835E+04  -0.436210E+02   0.287655E-03  -0.436210E+02   0.967684E+00  -0.700235E-06   0.287655E-03  -0.700235E-06   0.641092E-07
   160   0.460778E+04  -0.434141E+02   0.285181E-03  -0.434141E+02   0.959552E+00  -0.697724E-06   0.285181E-03  -0.697724E-06   0.637224E-07
   161   0.463697E+04  -0.431824E+02   0.282731E-03  -0.431824E+02   0.951216E+00  -0.695395E-06   0.282731E-03  -0.695395E-06   0.633389E-07
   162   0.466585E+04  -0.429257E+02   0.280305E-03  -0.429257E+02   0.942527E+00  -0.693182E-06   0.280305E-03  -0.693182E-06   0.629588E-07
   163   0.469457E+04  -0.426428E+02   0.277903E-03  -0.426428E+02   0.933560E+00  -0.691019E-06   0.277903E-03  -0.691019E-06   0.625820E-07
   164   0.472283E+04  -0.423350E+02   0.275524E-03  -0.423350E+02   0.924388E+00  -0.688840E-06   0.275524E-03  -0.688840E-06   0.622086E-07
   165   0.475093E+04  -0.420001E+02   0.273168E-03  -0.420001E+02   0.914937E+00  -0.686581E-06   0.273168E-03  -0.686581E-06   0.618384E-07
   166   0.477873E+04  -0.416395E+02   0.270835E-03  -0.416395E+02   0.905355E+00  -0.684175E-06   0.270835E-03  -0.684175E-06   0.614714E-07
   167   0.480628E+04  -0.412541E+02   0.268525E-03  -0.412541E+02   0.895418E+00  -0.681557E-06   0.268525E-03  -0.681557E-06   0.611077E-07
   168   0.483338E+04  -0.408416E+02   0.266238E-03  -0.408416E+02   0.885498E+00  -0.678661E-06   0.266238E-03  -0.678661E-06   0.607471E-07
   169   0.486016E+04  -0.404020E+02   0.263973E-03  -0.404020E+02   0.875298E+00  -0.675421E-06   0.263973E-03  -0.675421E-06   0.603897E-07
   170   0.488663E+04  -0.399368E+02   0.261731E-03  -0.399368E+02   0.865040E+00  -0.671773E-06   0.261731E-03  -0.671773E-06   0.600355E-07
   171   0.491264E+04  -0.394437E+02   0.259511E-03  -0.394437E+02   0.854723E+00  -0.667650E-06   0.259511E-03  -0.667650E-06   0.596844E-07
   172   0.493826E+04  -0.389243E+02   0.257313E-03  -0.389243E+02   0.844273E+00  -0.662986E-06   0.257313E-03  -0.662986E-06   0.593363E-07
   173   0.496343E+04  -0.383784E+02   0.255138E-03  -0.383784E+02   0.833690E+00  -0.657717E-06   0.255138E-03  -0.657717E-06   0.589913E-07
   174   0.498827E+04  -0.378063E+02   0.252984E-03  -0.378063E+02   0.823271E+00  -0.651777E-06   0.252984E-03  -0.651777E-06   0.586494E-07
   175   0.501273E+04  -0.372070E+02   0.250851E-03  -0.372070E+02   0.812717E+00  -0.645099E-06   0.250851E-03  -0.645099E-06   0.583105E-07
   176   0.503666E+04  -0.365805E+02   0.248740E-03  -0.365805E+02   0.802252E+00  -0.637636E-06   0.248740E-03  -0.637636E-06   0.579745E-07
   177   0.506019E+04  -0.359285E+02   0.246651E-03  -0.359285E+02   0.791801E+00  -0.629406E-06   0.246651E-03  -0.629406E-06   0.576416E-07
